end_date_year_month,start_date_year_month,start_date_year_quarter,end_date_year_quarter,start_date_quarter,start_date_year,id,start_date,start_date_month,end_date,end_date_month,end_date_quarter,end_date_year,service_division_owner,service_result,ward_id,estimated_cost,Ward Name,Latitude,Longitude
2000 Mar,2000 Jan,2000 Q1,2000 Q1,Q1,2000,13660,2000-01-14,January,2000-03-18,March,Q1,2000,Transportation Services,PASS,11,43000,University–Rosedale,43.67,-79.4
2000 Feb,2000 Jan,2000 Q1,2000 Q1,Q1,2000,10,2000-01-15,January,2000-02-23,February,Q1,2000,Solid Waste Management,PASS,11,33000,University–Rosedale,43.67,-79.4
2000 Mar,2000 Jan,2000 Q1,2000 Q1,Q1,2000,2255,2000-01-15,January,2000-03-04,March,Q1,2000,Municipal Licensing & Standards,PASS,3,123000,Etobicoke–Lakeshore,43.62,-79.51
2000 Feb,2000 Jan,2000 Q1,2000 Q1,Q1,2000,7163,2000-01-15,January,2000-02-04,February,Q1,2000,Municipal Licensing & Standards,FAIL,21,42000,Scarborough Centre,43.76,-79.25
2000 Mar,2000 Jan,2000 Q1,2000 Q1,Q1,2000,2995,2000-01-16,January,2000-03-21,March,Q1,2000,Municipal Licensing & Standards,PASS,15,74000,Don Valley West,43.72,-79.36
2000 Jan,2000 Jan,2000 Q1,2000 Q1,Q1,2000,10934,2000-01-16,January,2000-01-19,January,Q1,2000,Transportation Services,PASS,7,102000,Humber River–Black Creek,43.74,-79.52
2000 Mar,2000 Jan,2000 Q1,2000 Q1,Q1,2000,7791,2000-01-17,January,2000-03-25,March,Q1,2000,Municipal Licensing & Standards,PASS,14,48000,Toronto–Danforth,43.68,-79.34
2000 Feb,2000 Jan,2000 Q1,2000 Q1,Q1,2000,8933,2000-01-18,January,2000-02-15,February,Q1,2000,Transportation Services,PASS,25,186000,Scarborough–Rouge Park,43.81,-79.13
2000 Mar,2000 Jan,2000 Q1,2000 Q1,Q1,2000,16013,2000-01-18,January,2000-03-29,March,Q1,2000,Transportation Services,PASS,23,114000,Scarborough North,43.82,-79.24
2000 Feb,2000 Jan,2000 Q1,2000 Q1,Q1,2000,19499,2000-01-19,January,2000-02-27,February,Q1,2000,Toronto Water,PASS,1,43000,Etobicoke North,43.733,-79.565
2000 Jun,2000 Jan,2000 Q1,2000 Q2,Q1,2000,3464,2000-01-20,January,2000-06-15,June,Q2,2000,"Parks, Forestry & Recreation",PASS,6,15000,York Centre,43.75,-79.45
2000 Apr,2000 Jan,2000 Q1,2000 Q2,Q1,2000,5951,2000-01-20,January,2000-04-06,April,Q2,2000,Municipal Licensing & Standards,PASS,3,21000,Etobicoke–Lakeshore,43.62,-79.51
2000 May,2000 Jan,2000 Q1,2000 Q2,Q1,2000,12109,2000-01-20,January,2000-05-17,May,Q2,2000,"Parks, Forestry & Recreation",PASS,1,168000,Etobicoke North,43.733,-79.565
2000 Apr,2000 Jan,2000 Q1,2000 Q2,Q1,2000,12963,2000-01-20,January,2000-04-04,April,Q2,2000,Toronto Water,PASS,21,89000,Scarborough Centre,43.76,-79.25
2000 Mar,2000 Jan,2000 Q1,2000 Q1,Q1,2000,13979,2000-01-20,January,2000-03-31,March,Q1,2000,Municipal Licensing & Standards,PASS,14,134000,Toronto–Danforth,43.68,-79.34
2000 Feb,2000 Jan,2000 Q1,2000 Q1,Q1,2000,7765,2000-01-21,January,2000-02-04,February,Q1,2000,Transportation Services,PASS,5,75000,York South–Weston,43.7,-79.49
2000 Mar,2000 Jan,2000 Q1,2000 Q1,Q1,2000,11949,2000-01-21,January,2000-03-10,March,Q1,2000,Transportation Services,PASS,8,85000,Eglinton–Lawrence,43.72,-79.43
2000 May,2000 Jan,2000 Q1,2000 Q2,Q1,2000,19673,2000-01-21,January,2000-05-03,May,Q2,2000,"Parks, Forestry & Recreation",PASS,21,182000,Scarborough Centre,43.76,-79.25
2000 Jun,2000 Jan,2000 Q1,2000 Q2,Q1,2000,4786,2000-01-22,January,2000-06-21,June,Q2,2000,"Parks, Forestry & Recreation",PASS,19,136000,Beaches–East York,43.68,-79.3
2000 Jan,2000 Jan,2000 Q1,2000 Q1,Q1,2000,19698,2000-01-22,January,2000-01-23,January,Q1,2000,"Parks, Forestry & Recreation",PASS,7,18000,Humber River–Black Creek,43.74,-79.52
2000 Feb,2000 Jan,2000 Q1,2000 Q1,Q1,2000,249,2000-01-24,January,2000-02-05,February,Q1,2000,Transportation Services,FAIL,1,154000,Etobicoke North,43.733,-79.565
2000 Mar,2000 Jan,2000 Q1,2000 Q1,Q1,2000,10452,2000-01-24,January,2000-03-28,March,Q1,2000,"Parks, Forestry & Recreation",PASS,12,82000,Toronto–St. Paul's,43.69,-79.41
2000 Jun,2000 Jan,2000 Q1,2000 Q2,Q1,2000,11622,2000-01-25,January,2000-06-21,June,Q2,2000,"Parks, Forestry & Recreation",FAIL,7,38000,Humber River–Black Creek,43.74,-79.52
2000 Mar,2000 Jan,2000 Q1,2000 Q1,Q1,2000,12026,2000-01-25,January,2000-03-24,March,Q1,2000,Municipal Licensing & Standards,PASS,8,186000,Eglinton–Lawrence,43.72,-79.43
2000 Apr,2000 Jan,2000 Q1,2000 Q2,Q1,2000,4564,2000-01-26,January,2000-04-26,April,Q2,2000,"Parks, Forestry & Recreation",PASS,16,26000,Don Valley East,43.75,-79.34
2000 May,2000 Jan,2000 Q1,2000 Q2,Q1,2000,4695,2000-01-26,January,2000-05-19,May,Q2,2000,Toronto Water,PASS,2,42000,Etobicoke Centre,43.67,-79.55
2000 Apr,2000 Jan,2000 Q1,2000 Q2,Q1,2000,9017,2000-01-26,January,2000-04-22,April,Q2,2000,Transportation Services,PASS,24,56000,Scarborough–Guildwood,43.74,-79.22
2000 Feb,2000 Jan,2000 Q1,2000 Q1,Q1,2000,9866,2000-01-26,January,2000-02-27,February,Q1,2000,Toronto Water,FAIL,13,42000,Toronto Centre,43.66,-79.37
2000 May,2000 Jan,2000 Q1,2000 Q2,Q1,2000,5507,2000-01-27,January,2000-05-23,May,Q2,2000,Toronto Water,FAIL,7,87000,Humber River–Black Creek,43.74,-79.52
2000 Feb,2000 Jan,2000 Q1,2000 Q1,Q1,2000,19716,2000-01-27,January,2000-02-11,February,Q1,2000,Transportation Services,FAIL,8,176000,Eglinton–Lawrence,43.72,-79.43
2000 Feb,2000 Jan,2000 Q1,2000 Q1,Q1,2000,5993,2000-01-28,January,2000-02-02,February,Q1,2000,Transportation Services,PASS,21,210000,Scarborough Centre,43.76,-79.25
2000 Apr,2000 Jan,2000 Q1,2000 Q2,Q1,2000,17607,2000-01-28,January,2000-04-28,April,Q2,2000,"Parks, Forestry & Recreation",FAIL,25,55000,Scarborough–Rouge Park,43.81,-79.13
2000 May,2000 Jan,2000 Q1,2000 Q2,Q1,2000,2833,2000-01-29,January,2000-05-01,May,Q2,2000,Solid Waste Management,PASS,13,114000,Toronto Centre,43.66,-79.37
2000 Jan,2000 Jan,2000 Q1,2000 Q1,Q1,2000,3975,2000-01-29,January,2000-01-30,January,Q1,2000,Toronto Water,PASS,24,94000,Scarborough–Guildwood,43.74,-79.22
2000 Apr,2000 Jan,2000 Q1,2000 Q2,Q1,2000,6375,2000-01-29,January,2000-04-16,April,Q2,2000,Toronto Water,FAIL,12,26000,Toronto–St. Paul's,43.69,-79.41
2000 Jan,2000 Jan,2000 Q1,2000 Q1,Q1,2000,11107,2000-01-29,January,2000-01-30,January,Q1,2000,Toronto Water,PASS,6,120000,York Centre,43.75,-79.45
2000 May,2000 Jan,2000 Q1,2000 Q2,Q1,2000,19270,2000-01-29,January,2000-05-25,May,Q2,2000,"Parks, Forestry & Recreation",FAIL,1,60000,Etobicoke North,43.733,-79.565
2000 May,2000 Jan,2000 Q1,2000 Q2,Q1,2000,1347,2000-01-30,January,2000-05-09,May,Q2,2000,Toronto Water,FAIL,14,78000,Toronto–Danforth,43.68,-79.34
2000 Mar,2000 Jan,2000 Q1,2000 Q1,Q1,2000,5021,2000-01-30,January,2000-03-08,March,Q1,2000,Transportation Services,PASS,10,33000,Spadina–Fort York,43.64,-79.39
2000 May,2000 Jan,2000 Q1,2000 Q2,Q1,2000,12527,2000-01-30,January,2000-05-28,May,Q2,2000,Transportation Services,PASS,12,164000,Toronto–St. Paul's,43.69,-79.41
2000 Apr,2000 Jan,2000 Q1,2000 Q2,Q1,2000,3055,2000-01-31,January,2000-04-06,April,Q2,2000,Solid Waste Management,PASS,20,166000,Scarborough Southwest,43.71,-79.26
2000 Mar,2000 Jan,2000 Q1,2000 Q1,Q1,2000,5622,2000-01-31,January,2000-03-30,March,Q1,2000,Solid Waste Management,PASS,17,78000,Don Valley North,43.78,-79.35
2000 May,2000 Jan,2000 Q1,2000 Q2,Q1,2000,13766,2000-01-31,January,2000-05-27,May,Q2,2000,Toronto Water,PASS,25,68000,Scarborough–Rouge Park,43.81,-79.13
2000 May,2000 Jan,2000 Q1,2000 Q2,Q1,2000,15120,2000-01-31,January,2000-05-16,May,Q2,2000,Transportation Services,PASS,21,29000,Scarborough Centre,43.76,-79.25
2000 Feb,2000 Feb,2000 Q1,2000 Q1,Q1,2000,849,2000-02-02,February,2000-02-21,February,Q1,2000,Municipal Licensing & Standards,PASS,23,246000,Scarborough North,43.82,-79.24
2000 Feb,2000 Feb,2000 Q1,2000 Q1,Q1,2000,1137,2000-02-02,February,2000-02-17,February,Q1,2000,Solid Waste Management,PASS,21,150000,Scarborough Centre,43.76,-79.25
2000 Mar,2000 Feb,2000 Q1,2000 Q1,Q1,2000,10251,2000-02-03,February,2000-03-01,March,Q1,2000,Municipal Licensing & Standards,FAIL,12,162000,Toronto–St. Paul's,43.69,-79.41
2000 May,2000 Feb,2000 Q1,2000 Q2,Q1,2000,1260,2000-02-04,February,2000-05-05,May,Q2,2000,"Parks, Forestry & Recreation",FAIL,23,297000,Scarborough North,43.82,-79.24
2000 May,2000 Feb,2000 Q1,2000 Q2,Q1,2000,3208,2000-02-05,February,2000-05-06,May,Q2,2000,Solid Waste Management,PASS,7,2000,Humber River–Black Creek,43.74,-79.52
2000 May,2000 Feb,2000 Q1,2000 Q2,Q1,2000,6527,2000-02-05,February,2000-05-24,May,Q2,2000,"Parks, Forestry & Recreation",PASS,8,237000,Eglinton–Lawrence,43.72,-79.43
2000 May,2000 Feb,2000 Q1,2000 Q2,Q1,2000,8101,2000-02-05,February,2000-05-30,May,Q2,2000,"Parks, Forestry & Recreation",PASS,23,294000,Scarborough North,43.82,-79.24
2000 Feb,2000 Feb,2000 Q1,2000 Q1,Q1,2000,11975,2000-02-05,February,2000-02-15,February,Q1,2000,Toronto Water,PASS,12,76000,Toronto–St. Paul's,43.69,-79.41
2000 Mar,2000 Feb,2000 Q1,2000 Q1,Q1,2000,16141,2000-02-05,February,2000-03-20,March,Q1,2000,Transportation Services,PASS,15,195000,Don Valley West,43.72,-79.36
2000 Apr,2000 Feb,2000 Q1,2000 Q2,Q1,2000,17458,2000-02-05,February,2000-04-07,April,Q2,2000,Toronto Water,PASS,18,90000,Willowdale,43.77,-79.41
2000 Jun,2000 Feb,2000 Q1,2000 Q2,Q1,2000,19359,2000-02-05,February,2000-06-28,June,Q2,2000,"Parks, Forestry & Recreation",PASS,13,49000,Toronto Centre,43.66,-79.37
2000 Apr,2000 Feb,2000 Q1,2000 Q2,Q1,2000,18118,2000-02-06,February,2000-04-21,April,Q2,2000,Transportation Services,PASS,24,72000,Scarborough–Guildwood,43.74,-79.22
2000 Apr,2000 Feb,2000 Q1,2000 Q2,Q1,2000,6426,2000-02-07,February,2000-04-07,April,Q2,2000,Municipal Licensing & Standards,FAIL,24,57000,Scarborough–Guildwood,43.74,-79.22
2000 Mar,2000 Feb,2000 Q1,2000 Q1,Q1,2000,10707,2000-02-07,February,2000-03-27,March,Q1,2000,Toronto Water,PASS,9,36000,Davenport,43.67,-79.44
2000 Jul,2000 Feb,2000 Q1,2000 Q3,Q1,2000,18247,2000-02-07,February,2000-07-07,July,Q3,2000,"Parks, Forestry & Recreation",PASS,4,249000,Parkdale–High Park,43.65,-79.46
2000 May,2000 Feb,2000 Q1,2000 Q2,Q1,2000,6602,2000-02-08,February,2000-05-03,May,Q2,2000,Toronto Water,PASS,25,12000,Scarborough–Rouge Park,43.81,-79.13
2000 Mar,2000 Feb,2000 Q1,2000 Q1,Q1,2000,6360,2000-02-09,February,2000-03-27,March,Q1,2000,Toronto Water,PASS,4,34000,Parkdale–High Park,43.65,-79.46
2000 Apr,2000 Feb,2000 Q1,2000 Q2,Q1,2000,5749,2000-02-10,February,2000-04-29,April,Q2,2000,Solid Waste Management,FAIL,13,86000,Toronto Centre,43.66,-79.37
2000 May,2000 Feb,2000 Q1,2000 Q2,Q1,2000,6025,2000-02-10,February,2000-05-08,May,Q2,2000,"Parks, Forestry & Recreation",FAIL,3,261000,Etobicoke–Lakeshore,43.62,-79.51
2000 Jun,2000 Feb,2000 Q1,2000 Q2,Q1,2000,6388,2000-02-10,February,2000-06-03,June,Q2,2000,Solid Waste Management,PASS,8,160000,Eglinton–Lawrence,43.72,-79.43
2000 May,2000 Feb,2000 Q1,2000 Q2,Q1,2000,17332,2000-02-10,February,2000-05-19,May,Q2,2000,Solid Waste Management,PASS,5,170000,York South–Weston,43.7,-79.49
2000 Apr,2000 Feb,2000 Q1,2000 Q2,Q1,2000,4632,2000-02-11,February,2000-04-12,April,Q2,2000,"Parks, Forestry & Recreation",FAIL,19,84000,Beaches–East York,43.68,-79.3
2000 Mar,2000 Feb,2000 Q1,2000 Q1,Q1,2000,6151,2000-02-11,February,2000-03-16,March,Q1,2000,Toronto Water,PASS,3,28000,Etobicoke–Lakeshore,43.62,-79.51
2000 Apr,2000 Feb,2000 Q1,2000 Q2,Q1,2000,8393,2000-02-11,February,2000-04-23,April,Q2,2000,"Parks, Forestry & Recreation",PASS,8,90000,Eglinton–Lawrence,43.72,-79.43
2000 Feb,2000 Feb,2000 Q1,2000 Q1,Q1,2000,9038,2000-02-11,February,2000-02-25,February,Q1,2000,Toronto Water,FAIL,5,240000,York South–Weston,43.7,-79.49
2000 Apr,2000 Feb,2000 Q1,2000 Q2,Q1,2000,14400,2000-02-11,February,2000-04-17,April,Q2,2000,"Parks, Forestry & Recreation",PASS,4,50000,Parkdale–High Park,43.65,-79.46
2000 Apr,2000 Feb,2000 Q1,2000 Q2,Q1,2000,1912,2000-02-12,February,2000-04-06,April,Q2,2000,Municipal Licensing & Standards,FAIL,14,95000,Toronto–Danforth,43.68,-79.34
2000 May,2000 Feb,2000 Q1,2000 Q2,Q1,2000,3183,2000-02-12,February,2000-05-16,May,Q2,2000,Solid Waste Management,FAIL,3,45000,Etobicoke–Lakeshore,43.62,-79.51
2000 Jun,2000 Feb,2000 Q1,2000 Q2,Q1,2000,3637,2000-02-12,February,2000-06-08,June,Q2,2000,Transportation Services,PASS,12,165000,Toronto–St. Paul's,43.69,-79.41
2000 Apr,2000 Feb,2000 Q1,2000 Q2,Q1,2000,4226,2000-02-12,February,2000-04-30,April,Q2,2000,"Parks, Forestry & Recreation",PASS,15,80000,Don Valley West,43.72,-79.36
2000 Apr,2000 Feb,2000 Q1,2000 Q2,Q1,2000,15010,2000-02-12,February,2000-04-21,April,Q2,2000,Municipal Licensing & Standards,FAIL,21,152000,Scarborough Centre,43.76,-79.25
2000 Apr,2000 Feb,2000 Q1,2000 Q2,Q1,2000,3988,2000-02-13,February,2000-04-15,April,Q2,2000,Toronto Water,PASS,6,36000,York Centre,43.75,-79.45
2000 Jun,2000 Feb,2000 Q1,2000 Q2,Q1,2000,9730,2000-02-13,February,2000-06-14,June,Q2,2000,"Parks, Forestry & Recreation",PASS,21,243000,Scarborough Centre,43.76,-79.25
2000 Jul,2000 Feb,2000 Q1,2000 Q3,Q1,2000,13926,2000-02-13,February,2000-07-22,July,Q3,2000,"Parks, Forestry & Recreation",PASS,4,60000,Parkdale–High Park,43.65,-79.46
2000 May,2000 Feb,2000 Q1,2000 Q2,Q1,2000,14004,2000-02-13,February,2000-05-10,May,Q2,2000,Municipal Licensing & Standards,PASS,11,116000,University–Rosedale,43.67,-79.4
2000 Mar,2000 Feb,2000 Q1,2000 Q1,Q1,2000,773,2000-02-14,February,2000-03-07,March,Q1,2000,Toronto Water,PASS,21,14000,Scarborough Centre,43.76,-79.25
2000 Mar,2000 Feb,2000 Q1,2000 Q1,Q1,2000,4738,2000-02-14,February,2000-03-11,March,Q1,2000,Solid Waste Management,FAIL,13,81000,Toronto Centre,43.66,-79.37
2000 Apr,2000 Feb,2000 Q1,2000 Q2,Q1,2000,19775,2000-02-14,February,2000-04-28,April,Q2,2000,Solid Waste Management,PASS,23,8000,Scarborough North,43.82,-79.24
2000 Feb,2000 Feb,2000 Q1,2000 Q1,Q1,2000,328,2000-02-15,February,2000-02-23,February,Q1,2000,Transportation Services,PASS,1,78000,Etobicoke North,43.733,-79.565
2000 May,2000 Feb,2000 Q1,2000 Q2,Q1,2000,1086,2000-02-15,February,2000-05-24,May,Q2,2000,Municipal Licensing & Standards,PASS,13,123000,Toronto Centre,43.66,-79.37
2000 Apr,2000 Feb,2000 Q1,2000 Q2,Q1,2000,7039,2000-02-15,February,2000-04-13,April,Q2,2000,Transportation Services,FAIL,1,26000,Etobicoke North,43.733,-79.565
2000 Feb,2000 Feb,2000 Q1,2000 Q1,Q1,2000,7257,2000-02-15,February,2000-02-19,February,Q1,2000,Toronto Water,PASS,15,18000,Don Valley West,43.72,-79.36
2000 Apr,2000 Feb,2000 Q1,2000 Q2,Q1,2000,10595,2000-02-15,February,2000-04-02,April,Q2,2000,Toronto Water,PASS,12,98000,Toronto–St. Paul's,43.69,-79.41
2000 May,2000 Feb,2000 Q1,2000 Q2,Q1,2000,13428,2000-02-15,February,2000-05-23,May,Q2,2000,Toronto Water,PASS,17,48000,Don Valley North,43.78,-79.35
2000 May,2000 Feb,2000 Q1,2000 Q2,Q1,2000,5592,2000-02-17,February,2000-05-14,May,Q2,2000,Solid Waste Management,FAIL,17,190000,Don Valley North,43.78,-79.35
2000 Mar,2000 Feb,2000 Q1,2000 Q1,Q1,2000,10581,2000-02-17,February,2000-03-19,March,Q1,2000,Municipal Licensing & Standards,PASS,7,75000,Humber River–Black Creek,43.74,-79.52
2000 Mar,2000 Feb,2000 Q1,2000 Q1,Q1,2000,10958,2000-02-17,February,2000-03-11,March,Q1,2000,Transportation Services,PASS,24,57000,Scarborough–Guildwood,43.74,-79.22
2000 Mar,2000 Feb,2000 Q1,2000 Q1,Q1,2000,15531,2000-02-17,February,2000-03-10,March,Q1,2000,Toronto Water,PASS,18,25000,Willowdale,43.77,-79.41
2000 Mar,2000 Feb,2000 Q1,2000 Q1,Q1,2000,2008,2000-02-18,February,2000-03-27,March,Q1,2000,Transportation Services,PASS,21,291000,Scarborough Centre,43.76,-79.25
2000 Mar,2000 Feb,2000 Q1,2000 Q1,Q1,2000,14495,2000-02-18,February,2000-03-31,March,Q1,2000,Transportation Services,FAIL,14,294000,Toronto–Danforth,43.68,-79.34
2000 Feb,2000 Feb,2000 Q1,2000 Q1,Q1,2000,15956,2000-02-19,February,2000-02-29,February,Q1,2000,Municipal Licensing & Standards,PASS,23,76000,Scarborough North,43.82,-79.24
2001 May,2001 Mar,2001 Q1,2001 Q2,Q1,2001,10575,2001-03-19,March,2001-05-20,May,Q2,2001,Toronto Water,PASS,5,80000,York South–Weston,43.7,-79.49
2001 Apr,2001 Mar,2001 Q1,2001 Q2,Q1,2001,14898,2001-03-19,March,2001-04-11,April,Q2,2001,Solid Waste Management,FAIL,9,75000,Davenport,43.67,-79.44
2001 Jun,2001 Mar,2001 Q1,2001 Q2,Q1,2001,17827,2001-03-19,March,2001-06-03,June,Q2,2001,Transportation Services,PASS,25,162000,Scarborough–Rouge Park,43.81,-79.13
2001 Apr,2001 Mar,2001 Q1,2001 Q2,Q1,2001,126,2001-03-20,March,2001-04-10,April,Q2,2001,Transportation Services,PASS,1,32000,Etobicoke North,43.733,-79.565
2001 Jul,2001 Mar,2001 Q1,2001 Q3,Q1,2001,10093,2001-03-20,March,2001-07-24,July,Q3,2001,"Parks, Forestry & Recreation",PASS,10,86000,Spadina–Fort York,43.64,-79.39
2001 Jun,2001 Mar,2001 Q1,2001 Q2,Q1,2001,1398,2001-03-21,March,2001-06-02,June,Q2,2001,Municipal Licensing & Standards,FAIL,6,160000,York Centre,43.75,-79.45
2001 Jul,2001 Mar,2001 Q1,2001 Q3,Q1,2001,4145,2001-03-21,March,2001-07-04,July,Q3,2001,Transportation Services,PASS,10,26000,Spadina–Fort York,43.64,-79.39
2001 Jun,2001 Mar,2001 Q1,2001 Q2,Q1,2001,4426,2001-03-21,March,2001-06-17,June,Q2,2001,"Parks, Forestry & Recreation",FAIL,5,85000,York South–Weston,43.7,-79.49
